Stadium 1,Stadium 2,Coord1,Coord2,Distance (km)
Delta Center,Fiserv Forum,"(40.76832735, -111.90105507486473)","(43.04500955, -87.91748710581575)",1999.0287440997245
Delta Center,Footprint Center,"(40.76832735, -111.90105507486473)","(33.4460392, -112.07110129629386)",812.7681385544007
Delta Center,Frost Bank Center,"(40.76832735, -111.90105507486473)","(29.4270504, -98.43750706398404)",1753.744969717719
Delta Center,Gainbridge Fieldhouse,"(40.76832735, -111.90105507486473)","(39.7639331, -86.15550794973416)",2184.932284372741
Delta Center,Golden 1 Center,"(40.76832735, -111.90105507486473)","(38.58014045, -121.49950076409176)",858.0947098623587
Delta Center,Kaseya Center,"(40.76832735, -111.90105507486473)","(25.781359549999998, -80.18794351626137)",3362.8225686028522
Delta Center,Little Caesars Arena,"(40.76832735, -111.90105507486473)","(42.3409774, -83.05495452754165)",2401.2904082847035
Delta Center,Madison Square Garden,"(40.76832735, -111.90105507486473)","(40.750512900000004, -73.99351594545152)",3175.463974079828
Delta Center,Moda Center,"(40.76832735, -111.90105507486473)","(45.5315787, -122.66683365218687)",1021.8794713431732
Delta Center,Paycom Center,"(40.76832735, -111.90105507486473)","(35.46339605, -97.51508150130435)",1389.906991245633
Delta Center,Rocket Mortgage FieldHouse,"(40.76832735, -111.90105507486473)","(41.4966862, -81.68857538921003)",2525.1730776668624
Delta Center,Scotiabank Arena,"(40.76832735, -111.90105507486473)","(43.64343375, -79.37907772483726)",2687.2939615432865
Delta Center,Smoothie King Center,"(40.76832735, -111.90105507486473)","(29.94903925, -90.08206899587637)",2308.2529193978085
Delta Center,Spectrum Center,"(40.76832735, -111.90105507486473)","(35.225098, -80.83915411814897)",2781.355747830846
Delta Center,State Farm Arena,"(40.76832735, -111.90105507486473)","(33.7573698, -84.39638483503104)",2548.563903857414
Delta Center,Target Center,"(40.76832735, -111.90105507486473)","(44.979512650000004, -93.27609502567992)",1587.9250503430417
Delta Center,TD Garden,"(40.76832735, -111.90105507486473)","(42.3662986, -71.06216222263835)",3378.074301582716
Delta Center,Toyota Center,"(40.76832735, -111.90105507486473)","(29.75074725, -95.36223151477087)",1932.9939366331612
Delta Center,United Center,"(40.76832735, -111.90105507486473)","(41.88068305, -87.67418510441388)",2025.3182742693964
Delta Center,Wells Fargo Center (Philadelphia),"(40.76832735, -111.90105507486473)","(39.901100400000004, -75.17201654615069)",3099.584552661305
FedExForum,American Airlines Center,"(35.1382401, -90.05069457768097)","(32.7905076, -96.81027213460834)",676.6452521183619
FedExForum,Amway Center,"(35.1382401, -90.05069457768097)","(28.53927385, -81.38400713924818)",1098.39232956614
FedExForum,Ball Arena,"(35.1382401, -90.05069457768097)","(39.748683799999995, -105.00754401780362)",1416.8086678718005
FedExForum,Barclays Center,"(35.1382401, -90.05069457768097)","(40.68251055, -73.97525186658912)",1538.754886697257
FedExForum,Capital One Arena,"(35.1382401, -90.05069457768097)","(38.8981883, -77.0209377602636)",1230.9335102741577
FedExForum,Chase Center,"(35.1382401, -90.05069457768097)","(37.767892700000004, -122.38740721330376)",2899.027831467267
